Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
mne-python,v0.8.3,2014-09-01,0,0,1,1,0,0,0,0,1,1
mne-python,v0.9,2015-05-22,0,0,1,0,0,0,0,0,1,1
mne-python,v0.10,2015-10-23,0,0,1,0,0,0,0,0,1,1
mne-python,v0.11,2015-12-24,0,0,1,1,1,0,0,1,1,1
mne-python,v0.12,2016-05-10,0,0,1,1,1,0,0,0,1,1
mne-python,v0.13,2016-09-27,0,0,1,1,1,0,0,1,0,1
mne-python,v0.14,2017-03-23,0,0,1,1,0,0,0,0,1,1
mne-python,v0.15,2017-11-08,0,1,1,0,0,0,1,1,0,1
mne-python,v0.15.1,2017-11-23,0,0,1,1,0,0,0,0,0,1
mne-python,v0.16,2018-05-01,0,0,1,1,0,0,0,0,0,1
mne-python,v0.17,2018-11-19,0,0,1,1,0,0,0,0,0,1
mne-python,v0.18rc0,2019-05-19,0,1,1,0,0,0,1,1,0,1
mne-python,v0.18.1,2019-05-22,0,0,1,1,0,0,0,1,0,1
mne-python,v0.19.0,2019-09-24,0,1,1,0,0,0,1,1,0,1
mne-python,v0.19.1,2019-10-25,0,0,1,1,1,0,0,0,0,1
mne-python,v0.20.0,2020-03-27,0,1,1,0,0,0,1,1,0,1
mne-python,v0.20.1,2020-04-23,0,1,1,0,0,0,1,1,0,1
mne-python,v0.20.2,2020-04-28,0,1,1,0,0,0,1,1,0,1
mne-python,v0.20.3,2020-04-29,0,1,1,0,0,0,1,1,0,1
mne-python,v0.20.4,2020-05-11,0,1,1,0,0,0,1,1,0,1
mne-python,v0.20.5,2020-05-19,0,1,1,0,0,0,1,1,0,1
mne-python,v0.20.6,2020-06-12,0,1,1,0,0,0,0,1,0,1
mne-python,v0.20.7,2020-06-13,0,0,1,1,1,0,0,0,0,1
mne-python,v0.20.8,2020-09-04,0,1,1,0,0,0,1,1,0,1
mne-python,v0.21.0,2020-09-23,0,1,1,0,0,0,1,1,0,1
mne-python,v0.21.1,2020-11-05,0,1,1,0,0,0,1,1,0,1
mne-python,v0.21.2,2020-11-30,0,1,1,0,0,0,1,1,0,1
mne-python,v0.22.0,2020-12-17,0,0,1,1,0,0,0,0,0,1
mne-python,v0.22.1,2021-04-02,0,1,1,0,0,0,1,1,0,1
mne-python,v0.23.0,2021-04-27,0,1,1,1,1,0,0,1,0,1
mne-python,v0.23.1,2021-08-24,0,1,1,0,0,0,1,1,0,1
mne-python,v0.23.3,2021-08-30,0,1,1,0,0,0,1,1,0,1
mne-python,v0.23.4,2021-09-10,1,0,1,0,0,0,0,0,0,1
mne-python,v0.24.0,2021-11-03,0,1,1,0,0,0,1,1,0,1
mne-python,v0.24.1,2021-12-01,0,0,1,1,1,0,0,0,0,1
mne-python,v1.0.0,2022-03-21,0,1,1,0,0,0,1,1,0,1
mne-python,v1.0.2,2022-04-15,0,1,1,0,0,0,1,1,0,1
mne-python,v1.0.3,2022-05-12,0,1,1,1,1,0,0,1,0,1
mne-python,v1.1.0,2022-08-03,0,1,1,0,0,0,1,1,0,1
mne-python,v1.1.1,2022-08-24,0,0,1,0,1,0,0,1,0,1
mne-python,v1.2.0,2022-10-11,0,1,1,0,0,0,1,1,0,1
mne-python,v1.2.1,2022-10-19,0,1,1,0,0,0,1,1,0,1
mne-python,v1.2.2,2022-11-11,0,1,1,0,0,0,1,1,0,1
mne-python,v1.2.3,2022-12-02,0,1,1,0,0,0,1,1,0,1
mne-python,v1.3.0,2022-12-22,1,1,1,0,0,0,1,0,0,1
mne-python,v1.3.1,2023-02-23,0,0,1,1,0,0,1,0,0,1
mne-python,v1.4.0,2023-05-10,0,1,1,0,0,0,1,1,0,1
mne-python,v1.4.2,2023-06-06,1,0,1,0,1,0,1,0,0,1
mne-python,v1.5.0,2023-08-15,0,1,1,0,0,0,1,1,0,1
mne-python,v1.5.1,2023-09-06,0,0,1,0,1,0,0,1,0,1
mne-python,v1.6.0,2023-11-20,0,1,1,0,0,0,1,1,0,1
mne-python,v1.6.1,2024-01-16,1,0,1,1,1,0,0,1,0,1
mne-python,v1.7.0,2024-04-19,0,1,1,0,0,0,1,1,0,1
mne-python,v1.7.1,2024-06-14,0,0,1,0,0,0,1,0,0,1
mne-python,v1.8.0,2024-08-19,1,0,1,1,0,0,1,0,0,1
