Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
models,v1.0.0,2019-02-06,0,1,1,0,0,0,1,1,0,1
models,v1.1.0,2019-02-15,0,1,1,0,0,0,1,1,0,1
models,v1.2.0,2019-02-26,0,1,1,0,0,0,1,1,0,1
models,v1.2.1,2019-03-01,0,1,1,0,0,0,1,1,0,1
models,v1.3.0,2019-04-02,1,0,1,0,0,0,0,1,0,1
models,v1.3.1,2019-05-30,0,1,1,0,0,0,1,1,0,1
models,v1.4.0,2019-07-03,0,1,1,0,0,0,1,1,0,1
models,v1.4.1,2019-07-09,1,1,1,1,1,0,1,1,0,1
models,v1.5.0,2020-01-08,0,1,1,1,0,0,1,0,0,1
models,v1.6.0,2020-04-22,0,1,1,0,0,0,1,1,1,1
models,v1.6.1,2020-05-22,0,0,1,1,0,0,0,1,1,1
models,v1.8.0,2020-08-22,0,1,1,0,0,0,1,1,0,1
models,v1.8.1,2020-09-18,0,1,1,0,0,0,1,1,0,1
models,v2.0.0,2020-10-21,0,1,1,0,0,0,1,1,1,1
models,v2.1.0,2020-11-13,0,1,1,0,0,0,1,1,0,1
models,v2.1.1,2020-11-20,0,1,1,0,0,0,1,1,1,1
models,v2.2.0,2020-12-13,0,1,1,0,0,0,1,1,0,1
models,v2.3.0,2021-02-17,0,0,1,1,0,0,0,1,0,1
models,v2.4.0,2021-07-26,0,1,1,0,0,0,1,1,1,1
models,v2.5.0,2021-10-21,0,1,1,0,0,0,1,1,0,1
models,v2.6.0,2021-12-17,0,1,1,0,0,0,1,1,0,1
models,v2.6.1,2022-01-31,0,1,1,0,0,0,1,1,0,1
models,v2.7.0,2022-04-14,0,1,1,0,0,0,1,1,0,1
models,v2.11.0,2023-04-28,0,1,1,0,0,0,1,1,0,1
models,v2.11.1,2023-07-21,0,1,1,0,0,0,0,1,0,1
models,v2.12.1,2023-09-15,0,1,1,0,0,0,0,1,0,1
models,v3.0.0,2023-10-19,0,1,1,0,0,0,0,1,0,1
models,v3.1.0,2024-01-27,0,1,1,0,0,0,1,1,0,1
models,v3.1.1,2024-03-07,0,0,1,1,0,0,0,1,1,0
models,v3.2,2024-07-25,0,0,1,0,0,0,0,1,0,0
