Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC
bigartm,v0.5.1,2014-09-20,0,1,1,0,0,0,1,1,0,1
bigartm,v0.5.2,2014-09-28,0,1,1,0,0,0,1,1,0,1
bigartm,v0.5.3,2014-10-21,0,1,1,0,0,0,1,1,0,1
bigartm,v0.5.4,2014-11-23,0,1,1,0,0,0,1,1,0,1
bigartm,v0.5.5,2015-01-21,0,1,1,0,0,0,1,1,0,1
bigartm,v0.5.6,2015-01-26,0,1,1,0,0,0,1,1,0,1
bigartm,v0.5.7,2015-02-15,0,1,1,0,0,0,1,1,0,1
bigartm,v0.5.8,2015-02-21,0,1,1,0,0,0,1,1,0,1
bigartm,v0.5.9,2015-03-06,0,1,1,0,0,0,1,1,0,1
bigartm,v0.6.0,2015-03-19,0,1,1,0,0,0,1,1,0,1
bigartm,v0.6.1,2015-03-23,0,1,1,0,0,0,1,1,0,1
bigartm,v0.6.2,2015-03-27,0,1,1,0,0,0,1,1,0,1
bigartm,v0.6.3,2015-04-12,0,1,1,0,0,0,1,1,0,1
bigartm,v0.6.4,2015-05-04,0,1,1,0,0,0,1,1,0,1
bigartm,v0.7.0,2015-06-09,0,1,1,0,0,0,1,1,0,1
bigartm,v0.7.1,2015-07-13,0,1,1,0,0,0,1,1,0,1
bigartm,v0.7.2,2015-09-09,0,1,1,0,0,0,1,1,0,1
bigartm,v0.7.3,2015-10-28,0,1,1,0,0,0,1,1,0,1
bigartm,v0.7.4,2016-02-06,0,1,1,0,0,0,1,1,1,1
bigartm,v0.7.5,2016-03-27,0,1,1,0,0,0,1,1,0,1
bigartm,v0.7.6,2016-05-06,0,1,1,0,0,0,1,1,0,1
bigartm,v0.8.0,2016-05-06,0,1,1,0,0,0,1,1,0,1
bigartm,v0.8.1,2016-06-21,0,0,1,1,0,0,0,0,0,1
bigartm,v0.8.2,2016-12-10,0,1,1,0,0,0,1,1,0,1
bigartm,v0.8.3,2017-02-13,1,1,1,1,0,0,1,1,0,1
bigartm,v0.9.0,2017-11-04,1,1,1,1,0,1,1,1,0,1
bigartm,v0.10.0,2019-02-25,1,1,1,1,0,0,1,1,0,1
