Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,SATD
incubator-mxnet,v0.7.0,2016-05-26,0,0,1,1,0,0,0,0,0,1,3,23,23
incubator-mxnet,v0.8.0,2016-12-28,1,0,1,0,0,0,1,0,1,0,4,55,55
incubator-mxnet,v0.9.3,2017-01-22,0,0,1,1,0,0,0,0,0,1,3,66,66
incubator-mxnet,v0.9.5,2017-05-02,0,1,1,0,0,0,1,1,0,1,5,69,69
incubator-mxnet,v0.10.0,2017-05-26,0,0,1,1,0,0,0,0,1,1,4,69,69
incubator-mxnet,0.11.0,2017-09-05,0,0,1,0,0,0,0,0,0,1,2,77,77
incubator-mxnet,0.12.0,2017-10-30,0,1,1,0,0,0,1,1,0,1,5,86,86
incubator-mxnet,0.12.1,2017-11-15,0,1,1,0,0,0,1,1,0,1,5,86,86
incubator-mxnet,1.0.0,2017-12-04,0,0,1,0,0,0,0,0,1,1,3,87,87
incubator-mxnet,1.1.0,2018-02-19,0,0,1,0,0,0,0,0,0,1,2,68,68
incubator-mxnet,1.2.0,2018-05-21,0,0,1,0,0,0,0,0,0,1,2,70,70
incubator-mxnet,1.2.1,2018-07-17,0,0,1,0,0,0,0,1,0,1,3,70,70
incubator-mxnet,1.3.0,2018-09-11,0,1,1,0,0,0,0,0,0,1,3,69,69
incubator-mxnet,1.3.1,2018-11-12,0,0,1,0,0,0,0,0,0,1,2,69,69
incubator-mxnet,1.4.0,2019-02-16,0,1,1,0,0,0,0,1,0,1,4,59,59
incubator-mxnet,1.4.1,2019-04-30,0,0,1,0,0,0,0,0,0,1,2,59,59
incubator-mxnet,1.5.0,2019-06-08,0,1,1,1,0,0,0,0,0,1,4,65,65
incubator-mxnet,1.5.1,2019-09-05,0,0,1,1,0,0,0,0,0,1,3,65,65
incubator-mxnet,1.6.0,2020-02-20,0,0,1,1,0,0,0,0,1,1,4,100,100
incubator-mxnet,1.7.0,2020-08-25,0,1,1,1,1,0,0,0,0,1,5,104,104
incubator-mxnet,v2.0.0.alpha.rc0,2021-02-02,0,1,1,0,0,0,0,1,0,1,4,75,75
incubator-mxnet,v2.0.0.alpha.rc1,2021-02-02,0,1,1,0,0,0,0,1,0,1,4,75,75
incubator-mxnet,v2.0.0.alpha.rc2,2021-02-03,0,1,1,0,0,0,1,1,0,1,5,75,75
incubator-mxnet,v2.0.0.alpha.rc3,2021-02-17,0,1,1,0,0,0,1,1,0,1,5,75,75
incubator-mxnet,1.8.0,2021-03-03,1,1,1,1,1,0,1,0,0,1,7,101,101
incubator-mxnet,1.9.0,2021-05-21,1,1,1,1,0,0,0,1,0,1,6,104,104
incubator-mxnet,2.0.0.beta1.rc0,2022-01-22,0,1,1,0,0,0,1,1,0,1,5,74,74
incubator-mxnet,2.0.0.beta1.rc1,2022-03-08,0,1,1,0,0,0,1,1,0,1,5,74,74
incubator-mxnet,2.0.0.beta1,2022-03-22,0,1,1,0,0,0,1,1,0,1,5,74,74
incubator-mxnet,1.9.1.rc0,2022-04-25,0,1,1,0,0,0,1,1,0,1,5,104,104
