Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,Code,Defect,Design,Documentation,M&T,Requirement,SATD
pyro,0.1.0,2017-11-03,0,1,1,0,0,0,1,1,0,1,5,30,1,4,5,4,9,7,30
pyro,0.1.1,2017-11-05,0,1,1,0,0,0,1,1,0,1,5,30,1,4,5,4,9,7,30
pyro,0.1.2,2017-11-10,0,1,1,1,0,0,0,0,0,1,4,30,1,4,5,4,9,7,30
pyro,0.2.0,2018-04-25,0,1,1,0,0,0,1,1,0,1,5,33,3,6,7,5,7,5,33
pyro,0.2.1,2018-05-22,0,0,1,1,0,0,0,0,0,1,3,33,3,5,7,5,7,6,33
pyro,0.3.0,2018-12-07,0,1,1,0,0,0,1,1,0,1,5,54,2,8,8,10,5,21,54
pyro,0.3.1,2019-02-13,1,1,1,1,0,0,1,0,0,1,6,51,2,9,9,7,5,19,51
pyro,0.3.2,2019-04-23,0,1,1,0,0,0,1,1,0,1,5,52,2,8,9,8,5,20,52
pyro,0.3.3,2019-05-03,1,0,1,0,0,0,1,0,0,1,4,53,2,8,9,8,5,21,53
pyro,0.3.4,2019-07-16,0,1,1,0,0,0,1,1,0,1,5,55,2,11,9,7,6,20,55
pyro,0.4.0,2019-08-10,0,1,1,0,0,0,1,1,0,1,5,59,2,10,9,7,7,24,59
pyro,0.4.1,2019-08-19,0,1,1,0,0,0,1,1,0,1,5,59,2,10,9,7,7,24,59
pyro,0.5.0,2019-10-23,0,1,1,0,0,0,1,1,0,1,5,55,2,9,9,7,7,21,55
pyro,0.5.1,2019-10-24,0,1,1,0,0,0,1,1,0,1,5,55,2,9,9,7,7,21,55
pyro,1.0.0,2019-11-16,0,1,1,0,0,0,1,1,0,1,5,57,2,10,10,8,8,19,57
pyro,1.1.0,2019-12-07,0,1,1,0,0,0,1,1,0,1,5,57,3,10,9,8,8,19,57
pyro,1.2.0,2020-01-17,0,1,1,0,0,0,1,1,0,1,5,60,3,11,9,8,8,21,60
pyro,1.2.1,2020-01-23,0,1,1,0,0,0,1,1,0,1,5,60,3,11,9,8,8,21,60
pyro,1.3.0,2020-03-08,0,1,1,0,0,0,1,1,0,1,5,60,3,10,9,8,8,22,60
pyro,1.3.1,2020-04-07,1,1,1,1,0,0,0,1,0,1,6,65,3,10,11,10,9,22,65
pyro,1.4.0,2020-07-20,1,1,1,1,0,0,1,1,0,1,7,75,4,12,10,10,11,28,75
