Project_names,Release,Date,OSE,BCE,PDE,SV,OS,SD,RS,TF,UI,TC,CommunitySmells,SATD,Code,Defect,Design,Documentation,M&T,Requirement,SATD
tesseract,3.04.00,2015-07-24,1,1,0,1,0,0,0,1,0,1,5,181,22,38,7,27,16,71,181
tesseract,3.04.01,2016-02-16,0,0,0,1,0,1,0,1,1,0,4,180,21,38,7,26,16,72,180
tesseract,3.05.00,2017-02-16,0,0,1,1,0,0,0,1,0,0,3,175,21,38,7,25,15,69,175
tesseract,3.05.01,2017-06-01,0,0,0,1,0,1,0,1,1,0,4,175,21,38,7,25,14,70,175
tesseract,3.05.02,2018-06-19,0,0,0,1,0,0,0,1,1,0,3,175,21,38,7,25,14,70,175
tesseract,4.0.0,2018-10-29,0,0,0,1,0,1,0,0,1,0,3,179,21,39,8,27,15,69,179
tesseract,4.1.0,2019-07-07,0,0,0,1,0,0,0,0,0,0,1,189,22,44,9,27,16,71,189
tesseract,4.1.1,2019-12-26,1,0,0,1,0,1,0,0,0,0,3,191,22,44,9,27,18,71,191
tesseract,5.0.0-alpha-20201224,2020-12-24,0,1,1,0,0,0,1,1,1,1,6,185,22,42,9,26,18,68,185
tesseract,5.0.0-alpha-20201231,2020-12-31,0,0,1,1,0,0,0,1,0,0,3,186,22,42,9,26,18,69,186
tesseract,5.0.0-alpha-20210401,2021-04-01,0,0,0,1,0,0,0,0,1,0,2,192,22,41,9,27,17,76,192
tesseract,5.0.0-beta-20210815,2021-08-15,0,1,0,0,0,0,1,1,0,1,4,195,25,41,9,28,17,75,195
tesseract,5.0.0-beta-20210916,2021-09-16,0,1,1,0,0,0,1,1,0,1,5,195,25,41,9,28,17,75,195
tesseract,5.0.0-rc1,2021-10-29,0,1,1,0,0,0,1,1,0,1,5,195,26,42,9,28,16,74,195
tesseract,4.1.2,2021-11-14,0,1,1,0,0,0,0,1,0,1,4,191,22,44,9,27,18,71,191
tesseract,5.0.0-rc2,2021-11-14,0,1,1,0,0,0,0,1,0,1,4,195,26,42,9,28,16,74,195
tesseract,4.1.3,2021-11-15,0,1,1,0,0,0,1,1,0,1,5,191,22,44,9,27,18,71,191
tesseract,5.0.0-rc3,2021-11-22,0,1,1,0,0,0,1,1,0,1,5,195,26,42,9,28,16,74,195
tesseract,5.0.0,2021-11-30,0,1,1,0,0,0,1,1,0,1,5,195,26,42,9,28,16,74,195
tesseract,5.0.1,2022-01-07,0,1,1,0,0,0,1,1,0,1,5,195,26,42,9,28,16,74,195
tesseract,5.1.0,2022-03-01,1,0,1,1,0,0,1,0,0,1,5,196,26,42,9,28,16,75,196
tesseract,5.2.0,2022-07-06,1,0,1,1,0,0,0,0,0,0,3,197,26,42,9,28,16,76,197
tesseract,5.3.0-rc1,2022-12-13,0,1,1,0,0,0,1,1,0,1,5,197,26,42,9,28,16,76,197
tesseract,5.3.0,2022-12-22,1,1,1,1,0,0,1,1,0,1,7,197,26,42,9,28,16,76,197
tesseract,5.3.1,2023-04-01,1,1,1,1,0,0,1,1,0,1,7,197,26,42,9,28,16,76,197
tesseract,5.3.2,2023-07-11,1,1,1,1,0,0,1,1,0,1,7,197,26,42,9,28,16,76,197
tesseract,5.3.3,2023-10-05,1,1,1,1,0,0,1,1,0,1,7,197,26,42,9,28,16,76,197
tesseract,5.3.4,2024-01-18,1,1,1,1,0,0,1,1,0,1,7,196,26,42,9,28,16,75,196
tesseract,5.4.0-rc1,2024-05-12,0,1,1,0,0,0,1,1,0,1,5,198,25,43,10,28,16,76,198
tesseract,5.4.0-rc2,2024-05-19,0,1,1,0,0,0,1,1,0,1,5,198,25,43,10,28,16,76,198
tesseract,5.4.0,2024-06-06,0,1,1,0,0,0,1,1,0,1,5,198,25,43,10,28,16,76,198
tesseract,5.4.1,2024-06-11,1,1,1,1,0,0,1,1,0,1,7,200,25,45,10,28,16,76,200
